name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink,planet_type,temp_discovery_date,temp_mass,planet_radius,orbital_radius,orbital_period,eccentricity
BD+20 2457 c,5450,12.47 Jupiters,9.75,2009,https://exoplanets.nasa.gov/exoplanet-catalog/7079/bd20-2457-c/,Gas Giant,2009,12.47 Jupiters,1.1 x Jupiter,2.01 AU,1.7 years,0.18
BD+20 274 b,4514,4.2 Jupiters,9.36,2012,https://exoplanets.nasa.gov/exoplanet-catalog/7077/bd20-274-b/,Gas Giant,2012,4.2 Jupiters,1.16 x Jupiter,1.3 AU,1.6 years,0.21
BD+20 594 b,588,22.2481 Earths,11.038,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7166/bd20-594-b/,Neptune-like,2016,22.2481 Earths,0.23 x Jupiter,0.241 AU,41.7 days,0
BD+48 738 b,2910,0.91 Jupiters,9.14,2011,https://exoplanets.nasa.gov/exoplanet-catalog/6565/bd48-738-b/,Gas Giant,2011,0.91 Jupiters,1.24 x Jupiter,1.0 AU,392.6 days,0.2
BD+48 740 b,2215,1.7 Jupiters,8.699,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7198/bd48-740-b/,Gas Giant,2018,1.7 Jupiters,1.2 x Jupiter,1.7 AU,2 years,0.76
BD+49 828 b,1460,1.6 Jupiters,9.38,2015,https://exoplanets.nasa.gov/exoplanet-catalog/6566/bd49-828-b/,Gas Giant,2015,1.6 Jupiters,1.21 x Jupiter,4.2 AU,7.1 years,0.35
Beta Cancri b,295,7.8 Jupiters,3.53,2014,https://exoplanets.nasa.gov/exoplanet-catalog/7039/beta-cancri-b/,Gas Giant,2014,7.8 Jupiters,1.12 x Jupiter,1.7 AU,1.7 years,0.08
Beta Pictoris b,64,11 Jupiters,3.85,2008,https://exoplanets.nasa.gov/exoplanet-catalog/7040/beta-pictoris-b/,Gas Giant,2008,11 Jupiters,1.65 x Jupiter,9.1 AU,21 years,0.08
Beta Pictoris c,64,9 Jupiters,3.85,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7461/beta-pictoris-c/,Gas Giant,2019,9 Jupiters,1.12 x Jupiter,2.7 AU,3.3 years,0.24
Beta Ursae Minoris b,127,6.1 Jupiters,2.08,2014,https://exoplanets.nasa.gov/exoplanet-catalog/7041/beta-ursae-minoris-b/,Gas Giant,2014,6.1 Jupiters,1.14 x Jupiter,1.4 AU,1.4 years,0.19
CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011,https://exoplanets.nasa.gov/exoplanet-catalog/6567/cfbdsir-j145829101343-b/,Gas Giant,2011,10.5 Jupiters,1.11 x Jupiter,2.6 AU,27.5 years,0
CHXR 73 b,623,12.569 Jupiters,17.293,2006,https://exoplanets.nasa.gov/exoplanet-catalog/6568/chxr-73-b/,Gas Giant,2006,12.569 Jupiters,1.1 x Jupiter,210.0 AU,5146.9 years,0
CI Tauri b,515,11.6 Jupiters,12.939,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7422/ci-tauri-b/,Gas Giant,2019,11.6 Jupiters,1.11 x Jupiter,Unknown,9 days,0.25
CoRoT-10 b,1125,2.75 Jupiters,15.22,2010,https://exoplanets.nasa.gov/exoplanet-catalog/1327/corot-10-b/,Gas Giant,2010,2.75 Jupiters,0.97 x Jupiter,0.1055 AU,13.2 days,0.53
CoRoT-11 b,1827,2.33 Jupiters,12.939,2010,https://exoplanets.nasa.gov/exoplanet-catalog/4931/corot-11-b/,Gas Giant,2010,2.33 Jupiters,1.43 x Jupiter,0.0436 AU,3 days,0
CoRoT-12 b,3751,0.917 Jupiters,15.515,2010,https://exoplanets.nasa.gov/exoplanet-catalog/1328/corot-12-b/,Gas Giant,2010,0.917 Jupiters,1.44 x Jupiter,0.04016 AU,2.8 days,0.07
CoRoT-13 b,3458,1.308 Jupiters,15.039,2010,https://exoplanets.nasa.gov/exoplanet-catalog/1329/corot-13-b/,Gas Giant,2010,1.308 Jupiters,0.885 x Jupiter,0.051 AU,4 days,0
CoRoT-14 b,4371,7.6 Jupiters,16.033,2010,https://exoplanets.nasa.gov/exoplanet-catalog/1330/corot-14-b/,Gas Giant,2010,7.6 Jupiters,1.09 x Jupiter,0.027 AU,1.5 days,0
CoRoT-16 b,2740,0.535 Jupiters,15.63,2011,https://exoplanets.nasa.gov/exoplanet-catalog/1331/corot-16-b/,Gas Giant,2011,0.535 Jupiters,1.17 x Jupiter,0.0618 AU,5.4 days,0.33
CoRoT-17 b,3001,2.43 Jupiters,15.46,2011,https://exoplanets.nasa.gov/exoplanet-catalog/4932/corot-17-b/,Gas Giant,2011,2.43 Jupiters,1.02 x Jupiter,0.0461 AU,3.8 days,0
CoRoT-18 b,2838,3.47 Jupiters,15,2011,https://exoplanets.nasa.gov/exoplanet-catalog/1332/corot-18-b/,Gas Giant,2011,3.47 Jupiters,1.31 x Jupiter,0.0295 AU,1.9 days,< 0.08
CoRoT-19 b,2512,1.11 Jupiters,14.007,2011,https://exoplanets.nasa.gov/exoplanet-catalog/1333/corot-19-b/,Gas Giant,2011,1.11 Jupiters,1.29 x Jupiter,0.0518 AU,3.9 days,0.05
CoRoT-1 b,2627,1.03 Jupiters,13.6,2008,https://exoplanets.nasa.gov/exoplanet-catalog/1237/corot-1-b/,Gas Giant,2008,1.03 Jupiters,1.49 x Jupiter,0.02752 AU,1.5 days,0
CoRoT-20 b,2819,4.3 Jupiters,14.66,2011,https://exoplanets.nasa.gov/exoplanet-catalog/4933/corot-20-b/,Gas Giant,2011,4.3 Jupiters,0.84 x Jupiter,0.09 AU,9.2 days,0.59
CoRoT-20 c,2819,17 Jupiters,14.66,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6349/corot-20-c/,Gas Giant,2018,17 Jupiters,1.09 x Jupiter,2.9 AU,4.6 years,0.6
CoRoT-21 b,4563,2.26 Jupiters,16,2012,https://exoplanets.nasa.gov/exoplanet-catalog/6429/corot-21-b/,Gas Giant,2012,2.26 Jupiters,1.3 x Jupiter,0.0417 AU,2.7 days,0
CoRoT-22 b,1931,12.2 Earths,13.944,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1334/corot-22-b/,Neptune-like,2014,12.2 Earths,0.435 x Jupiter,0.092 AU,9.8 days,0.08
CoRoT-23 b,1957,2.8 Jupiters,15.63,2011,https://exoplanets.nasa.gov/exoplanet-catalog/1335/corot-23-b/,Gas Giant,2011,2.8 Jupiters,1.05 x Jupiter,0.048 AU,3.6 days,0.16
CoRoT-24 b,1957,5.7 Earths,15.18,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4934/corot-24-b/,Neptune-like,2014,5.7 Earths,0.33 x Jupiter,0.056 AU,5.1 days,0
CoRoT-24 c,1957,28 Earths,15.18,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1336/corot-24-c/,Neptune-like,2014,28 Earths,0.44 x Jupiter,0.098 AU,11.8 days,0
CoRoT-25 b,3262,0.27 Jupiters,14.711,2013,https://exoplanets.nasa.gov/exoplanet-catalog/1337/corot-25-b/,Gas Giant,2013,0.27 Jupiters,1.08 x Jupiter,0.0578 AU,4.9 days,0
CoRoT-26 b,5448,0.52 Jupiters,15.468,2013,https://exoplanets.nasa.gov/exoplanet-catalog/4935/corot-26-b/,Gas Giant,2013,0.52 Jupiters,1.26 x Jupiter,0.0526 AU,4.2 days,0
CoRoT-27 b,3377,10.39 Jupiters,15.54,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1338/corot-27-b/,Gas Giant,2014,10.39 Jupiters,1.007 x Jupiter,0.0476 AU,3.6 days,< 0.065
CoRoT-28 b,1827,0.484 Jupiters,13.412,2015,https://exoplanets.nasa.gov/exoplanet-catalog/1339/corot-28-b/,Gas Giant,2015,0.484 Jupiters,0.955 x Jupiter,0.0603 AU,5.2 days,0.05
CoRoT-29 b,2495,0.85 Jupiters,15.239,2015,https://exoplanets.nasa.gov/exoplanet-catalog/1340/corot-29-b/,Gas Giant,2015,0.85 Jupiters,0.9 x Jupiter,0.0386 AU,2.9 days,0.08
CoRoT-2 b,652,3.47 Jupiters,12.57,2008,https://exoplanets.nasa.gov/exoplanet-catalog/1238/corot-2-b/,Gas Giant,2008,3.47 Jupiters,1.466 x Jupiter,0.02798 AU,1.7 days,0.01
CoRoT-30 b,3132,2.9 Jupiters,15.65,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7609/corot-30-b/,Gas Giant,2020,2.9 Jupiters,1.009 x Jupiter,0.0844 AU,9.1 days,0.01
CoRoT-31 b,7144,0.84 Jupiters,15.465,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7610/corot-31-b/,Gas Giant,2020,0.84 Jupiters,1.46 x Jupiter,0.0586 AU,4.6 days,0.02
CoRoT-3 b,2218,21.66 Jupiters,13.292,2008,https://exoplanets.nasa.gov/exoplanet-catalog/4936/corot-3-b/,Gas Giant,2008,21.66 Jupiters,1.01 x Jupiter,0.05783 AU,4.3 days,0
CoRoT-4 b,2419,0.72 Jupiters,13.561,2008,https://exoplanets.nasa.gov/exoplanet-catalog/1239/corot-4-b/,Gas Giant,2008,0.72 Jupiters,1.19 x Jupiter,0.09 AU,9.2 days,0
CoRoT-5 b,2951,0.467 Jupiters,13.902,2009,https://exoplanets.nasa.gov/exoplanet-catalog/1240/corot-5-b/,Gas Giant,2009,0.467 Jupiters,1.388 x Jupiter,0.04947 AU,4 days,0.09
