name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink,planet_type,temp_discovery_date,temp_mass,planet_radius,orbital_radius,orbital_period,eccentricity
Kepler-244 b,3483,8.05 Earths,15.545,2014
Kepler-244 c,3483,4.86 Earths,15.545,2014,K2-287,b,k2-287 b,Transit,0,1,14.893291,0.000025,-0.000025,0,0.1206,0.0008,-0.0008,0,0.478,0.025,-0.026,0,88.13,0.1,-0.08,0,0.315,0.027,-0.027,0,Mass,0.847,0.013,-0.013,0,,,,,0,0,1,0,15h32m17.84s,233.074341,-22d21m29.7s,-22.358261,159.05,1.29,-1.29,0,159.05,1.29,-1.29,0,11.41,0.129,0,V (Johnson),11.067,,0,5695,58,-58,0,1.06,0.02,-0.02,0,1.07,0.01,-0.01,0,10-01-2019,K2
Kepler-244 d,3483,15.2 Earths,15.545,2014
Kepler-245 b,2879,7.13 Earths,15.597,2014,K2-288 B,b,k2-288 b b,Transit,0,1,31.393463,0.000067,-0.000069,0,0.164,0.03,-0.03,0,,,,,89.81,0.13,-0.17,0,,,,,,0.17,0.027,-0.027,0,,,,,0,0,1,0,03h41m46.43s,55.443439,+18d16m08.0s,18.268902,65.72,0.87,-0.87,0,65.72,0.87,-0.87,0,13.868,0.12,0,V (Johnson),14.545,,0,3341,276,-276,0,0.33,0.02,-0.02,0,0.32,0.03,-0.03,0,10-01-2019,K2
Kepler-245 c,2879,0.71 Jupiters,15.597,2014
Kepler-245 d,2879,21.6 Earths,15.597,2014,K2-289,b,k2-289 b,Transit,0,1,13.156969,0.000047,-0.000051,0,0.107,0.001,-0.001,0,,,,,88.48,0.07,-0.07,0,,,,,,0.812,0.027,-0.027,0,,,,,0,0,1,1,16h26m34.33s,246.643036,-15d47m32.6s,-15.792386,270.7,7.6,-7.1,0,276.47,2.1,-2.1,0,14.465,0.039,0,V (Johnson),13.794,,0,5529,77,-74,0,0.95,0.04,-0.05,0,1.02,0.03,-0.03,0,31-01-2019,K2
Kepler-245 e,2879,3.71 Earths,15.597,2016
Kepler-246 b,2079,6.08 Earths,15.042,2014,K2-29,b,k2-29 b,Transit,0,1,3.2588321,0.0000019,-0.0000019,0,0.04217,0.00024,-0.00024,0,0.066,0.022,-0.022,0,86.656,0.11,-0.08,0,0.73,0.04,-0.04,0,Mass,1.19,0.02,-0.02,0,0.53,0.04,-0.04,0,0,0,1,0,04h10m40.96s,62.670647,+24d24m07.4s,24.402042,179.39,1.31,-1.31,0,179.39,1.31,-1.31,0,12.526,0.044,0,V (Johnson),12.201,,0,5358,38,-38,0,0.94,0.02,-0.02,0,0.86,0.01,-0.01,0,24-03-2016,K2
Kepler-246 c,2079,2.86 Earths,15.042,2014
Kepler-247 b,2206,3.33 Earths,15.047,2014,K2-290,b,k2-290 b,Transit,0,2,9.21165,0.00033,-0.00034,0,0.0923,0.0066,-0.0066,0,0,,,0,88.14,0.62,-0.5,0,0.0343,,,1,Mass,0.273,0.014,-0.014,0,4.1,,,1,0,0,1,1,15h39m25.87s,234.857773,-20d11m55.7s,-20.198818,274.99,3.8,-3.8,0,274.99,3.8,-3.8,0,11.114,0.107,0,V (Johnson),10.82,,0,6302,120,-120,0,1.19,0.07,-0.08,0,1.51,0.07,-0.07,0,24-01-2019,K2
Kepler-247 c,2206,15.7 Earths,15.047,2014
Kepler-247 d,2206,14.7 Earths,15.047,2014,K2-290,c,k2-290 c,Transit,0,2,48.36685,0.00041,-0.0004,0,0.305,0.017,-0.017,0,0,,,0,89.37,0.08,-0.07,0,0.774,0.047,-0.047,0,Mass,1.006,0.05,-0.05,0,1.01,0.16,-0.16,0,0,0,1,0,15h39m25.87s,234.857773,-20d11m55.7s,-20.198818,274.99,3.8,-3.8,0,274.99,3.8,-3.8,0,11.114,0.107,0,V (Johnson),10.82,,0,6302,120,-120,0,1.19,0.07,-0.08,0,1.51,0.07,-0.07,0,24-01-2019,K2
Kepler-248 b,2462,9.38 Earths,15.233,2014
Kepler-248 c,2462,15.6 Earths,15.233,2014,K2-291,b,k2-291 b,Transit,0,1,2.225177,0.000066,-0.000068,0,0.03261,0.00044,-0.00044,0,0,,,0,85.26,0.23,-0.2,0,0.02042,0.00365,-0.00365,0,Mass,0.142,0.008,-0.006,0,8.84,2.5,-2.03,0,0,0,1,0,05h05m46.99s,76.445793,+21d32m55.1s,21.54863,90.29,0.49,-0.49,0,90.29,0.49,-0.49,0,10.014,0.033,0,V (Johnson),9.866,,0,5520,60,-60,0,0.93,0.04,-0.04,0,0.9,0.04,-0.03,0,24-01-2019,K2
Kepler-249 b,624,1.32 Earths,15.23,2014
Kepler-249 c,624,2.89 Earths,15.23,2014,K2-292,b,k2-292 b,Transit,0,1,16.9841,0.0008,-0.0008,0,0.13,0.01,-0.01,0,0.04,0.06,-0.03,0,88.4,0.2,-0.3,0,0.07709,0.01384,-0.01384,0,Mass,0.235,0.01,-0.009,0,7.4,1.6,-1.5,0,0,0,1,0,13h41m30.30s,205.376266,-09d56m45.9s,-9.946078,114.29,0.82,-0.81,0,114.66,0.82,-0.82,0,9.917,0.013,0,V (Johnson),9.756,,0,5725,65,-65,0,1,0.03,-0.03,0,1.09,0.03,-0.03,0,07-02-2019,K2
Kepler-249 d,624,3.09 Earths,15.23,2014
Kepler-24 b,3901,1.6 Jupiters,14.923,2011,K2-293,b,k2-293 b,Transit,0,1,13.1225,0.0011,-0.0012,0,,,,,,,,,88.8,0.8,-1.9,0,,,,,,0.219,0.031,-0.022,0,,,,,0,0,1,0,23h26m25.52s,351.606354,-06d01m40.4s,-6.027876,396.64,6.75,-6.75,0,396.64,6.75,-6.75,0,13.357,0.01,0,V (Johnson),13.161,,0,5532,78,-78,0,0.96,0.04,-0.03,0,0.95,0.09,-0.06,0,04-04-2019,K2
Kepler-24 c,3901,1.6 Jupiters,14.923,2011
Kepler-24 d,3901,3.43 Earths,14.923,2014,K2-294,b,k2-294 b,Transit,0,1,2.50387,0.00022,-0.00023,0,,,,,,,,,85.5,2.1,-2,0,,,,,,0.148,0.019,-0.017,0,,,,,0,0,1,0,23h28m12.40s,352.051666,-07d36m13.3s,-7.60369,377.04,6.18,-6.18,0,377.04,6.18,-6.18,0,12.502,0.031,0,V (Johnson),12.37,,0,5612,50,-50,0,0.99,0.03,-0.03,0,1.2,0.13,-0.12,0,04-04-2019,K2
Kepler-24 e,3901,8.15 Earths,14.923,2014
Kepler-250 b,2536,1.51 Earths,15.414,2014,K2-295,b,k2-295 b,Transit,0,1,4.024867,0.000015,-0.000015,0,0.0451,0.0006,-0.0014,0,0,,,0,89.3,0.46,-0.62,0,0.335,0.062,-0.062,0,Mass,0.897,0.011,-0.005,0,0.612,0.115,-0.115,0,0,0,1,0,01h18m26.38s,19.6099,+06d49m00.7s,6.816871,225.7,2.4,-2.4,0,234.36,1.83,-1.83,0,13.946,0.04,0,V (Johnson),13.518,,0,4444,70,-70,0,0.74,0.04,-0.04,0,0.7,0.02,-0.02,0,23-05-2019,K2
Kepler-250 c,2536,5.82 Earths,15.414,2014
Kepler-250 d,2536,5.39 Earths,15.414,2014,K2-3,b,k2-3 b,Transit,0,3,10.054626,0.00001,-0.000011,0,,,,,0,,,0,89.588,0.116,-0.1,0,0.02039,0.00311,-0.00293,0,Mass,,,,,3.7,1.67,-1.08,0,0,0,1,0,11h29m20.39s,172.334946,-01d27m17.2s,-1.454787,45,3,-3,0,44.13,0.11,-0.11,0,12.17,0.01,0,V (Johnson),11.478,,0,3896,189,-189,0,0.6,0.09,-0.09,0,0.56,0.07,-0.07,0,07-05-2020,K2
Kepler-251 b,3096,2.33 Earths,15.216,2014
Kepler-251 c,3096,8.1 Earths,15.216,2014,K2-3,c,k2-3 c,Transit,0,3,24.646582,0.000041,-0.00004,0,,,,,0,,,0,89.905,0.066,-0.088,0,0.00673,0.0034,-0.00327,0,Mass,,,,,2.98,1.96,-1.5,0,0,0,1,1,11h29m20.39s,172.334946,-01d27m17.2s,-1.454787,45,3,-3,0,44.13,0.11,-0.11,0,12.17,0.01,0,V (Johnson),11.478,,0,3896,189,-189,0,0.6,0.09,-0.09,0,0.56,0.07,-0.07,0,07-05-2020,K2
Kepler-251 d,3096,8.1 Earths,15.216,2014
Kepler-251 e,3096,8.1 Earths,15.216,2014,K2-3,d,k2-3 d,Transit,0,3,44.55646,0.00011,-0.0001,0,,,,,0,,,0,89.788,0.033,-0.029,0,0.00881,,,0,Mass,,,,,5.62,,,0,0,0,1,3,11h29m20.39s,172.334946,-01d27m17.2s,-1.454787,45,3,-3,0,44.13,0.11,-0.11,0,12.17,0.01,0,V (Johnson),11.478,,0,3896,189,-189,0,0.6,0.09,-0.09,0,0.56,0.07,-0.07,0,07-05-2020,K2
Kepler-252 b,1251,2.04 Earths,15.029,2014
Kepler-252 c,1251,5.27 Earths,15.029,2014,K2-30,b,k2-30 b,Transit,0,1,4.098503,0.000011,-0.000011,0,0.04839,0.00076,-0.00076,0,0,,,0,86.92,0.26,-0.24,0,0.579,0.028,-0.027,0,Mass,1.039,0.05,-0.051,0,0.64,0.098,-0.08,0,0,0,1,0,03h29m22.07s,52.341961,+22d17m57.9s,22.299404,336.26,3.03,-3.03,0,336.26,3.03,-3.03,0,13.53,0.04,0,V (Johnson),13.206,,0,5425,40,-40,0,0.9,0.04,-0.04,0,0.84,0.03,-0.03,0,14-04-2016,K2
Kepler-253 b,2802,3.29 Earths,15.512,2014
Kepler-253 c,2802,7.51 Earths,15.512,2014,K2-308,b,k2-308 b,Transit,0,1,3.38628,0.00002,-0.00002,0,,,,,,,,,88.44,1.09,-1.91,0,,,,,,0.884,0.087,-0.087,0,,,,,0,0,1,0,05h13m21.39s,78.339134,+16d24m51.1s,16.414202,,,,,,,,,14.963,0.04,0,V (Johnson),14.895,,0,6100,263,-263,0,1.09,0.09,-0.09,0,1.24,0.1,-0.1,0,13-06-2019,K2
Kepler-253 d,2802,10.2 Earths,15.512,2014
Kepler-254 b,4718,14.3 Earths,15.838,2014,K2-31,b,k2-31 b,Transit,0,1,1.25785,0.000002,-0.000002,0,0.022,0.0018,-0.0018,0,0,,,0,79.9,0.8,-0.8,0,1.774,0.079,-0.079,0,Mass,1.06,0.35,-0.35,0,,,,,0,0,1,1,16h21m45.78s,245.44075,-23d32m52.3s,-23.547865,110.87,0.72,-0.72,0,110.87,0.72,-0.72,0,10.775,0.023,0,V (Johnson),10.537,,0,5280,70,-70,0,0.91,0.06,-0.06,0,0.78,0.07,-0.07,0,01-12-2016,K2
Kepler-254 c,4718,3.2 Earths,15.838,2014
Kepler-254 d,4718,6.8 Earths,15.838,2014,K2-315,b,k2-315 b,Transit,0,1,3.1443189,0.0000049,-0.0000049,0,,,,0,,,,0,88.74,0.21,-0.16,0,,,,0,,0.085,0.005,-0.005,0,,,,0,0,0,1,0,15h12m05.20s,228.021652,-20d06m30.7s,-20.108528,56.8,0.3,-0.3,0,57.06,0.26,-0.26,0,17.67,0.2,0,V (Johnson),15.679,,0,3300,30,-30,0,0.17,0,0,0,0.2,0.01,-0.01,0,13-08-2020,K2
Kepler-255 b,3538,3.02 Earths,15.528,2014
Kepler-255 c,3538,9.22 Earths,15.528,2014,K2-316,b,k2-316 b,Transit,0,2,1.133,0.001,-0.001,0,0.0147,0.001,-0.0031,0,,,,0,87.02,2.19,-3.98,0,,,,0,,0.119,0.009,-0.008,0,,,,0,0,0,1,0,15h34m29.94s,233.624756,-23d15m33.2s,-23.259212,112.84,0.96,-0.96,0,112.84,0.96,-0.96,0,14.794,,0,Kepler-band,15.514,,0,3436,3,-3,0,0.41,0.01,-0.01,0,0.38,0,0,0,16-09-2020,K2
Kepler-255 d,3538,2.3 Earths,15.528,2016
Kepler-256 b,3449,3.15 Earths,15.015,2014,K2-316,c,k2-316 c,Transit,0,2,5.26,0.007,-0.007,0,0.0582,0.0081,-0.0122,0,,,,0,89.31,0.49,-1.06,0,,,,0,,0.163,0.012,-0.011,0,,,,0,0,0,1,0,15h34m29.94s,233.624756,-23d15m33.2s,-23.259212,112.84,0.96,-0.96,0,112.84,0.96,-0.96,0,14.794,,0,Kepler-band,15.514,,0,3436,3,-3,0,0.41,0.01,-0.01,0,0.38,0,0,0,16-09-2020,K2
Kepler-256 c,3449,5.27 Earths,15.015,2014
Kepler-256 d,3449,6.71 Earths,15.015,2014,K2-317,b,k2-317 b,Transit,0,1,6.22,0.007,-0.007,0,0.0542,0.0065,-0.0103,0,,,,0,89.22,0.54,-0.93,0,,,,0,,0.261,0.017,-0.015,0,,,,0,0,0,1,0,15h14m28.63s,228.619278,-21d01m21.8s,-21.022715,177.08,3.34,-3.34,0,177.08,3.34,-3.34,0,16.4,,0,Kepler-band,16.639,,0,3387,5,-5,0,0.4,0.01,-0.01,0,0.38,0.01,-0.01,0,16-09-2020,K2
Kepler-256 e,3449,6.12 Earths,15.015,2014
Kepler-257 b,2602,7.32 Earths,15.422,2014,K2-318,b,k2-318 b,Transit,0,1,7.01,0.007,-0.007,0,0.0911,0.014,-0.0185,0,,,,0,89.38,0.44,-0.76,0,,,,0,,0.148,0.012,-0.012,0,,,,0,0,0,1,0,15h29m47.13s,232.446381,-17d33m26.2s,-17.557276,148.49,0.99,-0.99,0,148.49,0.99,-0.99,0,15.269,0.049,0,V (Johnson),14.397,,0,3851,83,-83,0,0.56,0.05,-0.05,0,0.55,0.02,-0.02,0,16-09-2020,K2
Kepler-257 c,2602,25.2 Earths,15.422,2014
Kepler-257 d,2602,21.7 Earths,15.422,2014,K2-319,b,k2-319 b,Transit,0,1,26.68,0.002,-0.003,0,0.1516,0.0115,-0.0258,0,,,,0,89.45,0.4,-0.66,0,,,,0,,0.249,0.01,-0.009,0,,,,0,0,0,1,0,11h07m12.25s,166.801025,+03d02m24.1s,3.040031,210.56,1.37,-1.37,0,210.32,1.87,-1.87,0,12.172,0.07,0,V (Johnson),11.94,,0,5440,115,-115,0,0.95,0.06,-0.06,0,0.9,0.01,-0.01,0,16-09-2020,K2
Kepler-258 b,1910,15.5 Earths,15.201,2014
Kepler-258 c,1910,12.7 Earths,15.201,2014,K2-32,b,k2-32 b,Transit,0,4,8.991828,0.000083,-0.000084,0,0.08035,0.00089,-0.00089,0,,,,,,,,,,,,,,0.443,0.029,-0.024,0,,,,,0,0,1,0,16h49m42.26s,252.426086,-19d32m34.2s,-19.542822,158.39,1.3,-1.3,0,158.39,1.3,-1.3,0,12.31,0.02,0,V (Johnson),12.004,,0,,,,,0.86,0.03,-0.03,0,0.84,0.04,-0.04,0,13-06-2019,K2
Kepler-259 b,3365,8.25 Earths,15.169,2014
Kepler-259 c,3365,7.75 Earths,15.169,2014,K2-32,c,k2-32 c,Transit,0,4,20.66186,0.00102,-0.00098,0,0.1399,0.0016,-0.0016,0,,,,,,,,,,,,,,0.244,0.018,-0.014,0,,,,,0,0,1,0,16h49m42.26s,252.426086,-19d32m34.2s,-19.542822,158.39,1.3,-1.3,0,158.39,1.3,-1.3,0,12.31,0.02,0,V (Johnson),12.004,,0,,,,,0.86,0.03,-0.03,0,0.84,0.04,-0.04,0,13-06-2019,K2
Kepler-25 b,799,8.7 Earths,10.632,2011
Kepler-25 c,799,15.2 Earths,10.632,2011,K2-32,d,k2-32 d,Transit,0,4,31.7142,0.0011,-0.001,0,0.1862,0.0021,-0.0021,0,,,,,,,,,,,,,,0.292,0.021,-0.017,0,,,,,0,0,1,0,16h49m42.26s,252.426086,-19d32m34.2s,-19.542822,158.39,1.3,-1.3,0,158.39,1.3,-1.3,0,12.31,0.02,0,V (Johnson),12.004,,0,,,,,0.86,0.03,-0.03,0,0.84,0.04,-0.04,0,13-06-2019,K2
Kepler-25 d,799,0.226 Jupiters,10.632,2014
Kepler-260 b,2084,4.7 Earths,14.118,2014,K2-32,e,k2-32 e,Transit,0,4,4.34882,0.00069,-0.00075,0,0.04951,0.00055,-0.00055,0,,,,,,,,,,,,,,0.09,0.009,-0.008,0,,,,,0,0,1,0,16h49m42.26s,252.426086,-19d32m34.2s,-19.542822,158.39,1.3,-1.3,0,158.39,1.3,-1.3,0,12.31,0.02,0,V (Johnson),12.004,,0,,,,,0.86,0.03,-0.03,0,0.84,0.04,-0.04,0,13-06-2019,K2
Kepler-260 c,2084,3.68 Earths,14.118,2014
Kepler-261 b,1045,5.39 Earths,13.529,2014,K2-320,b,k2-320 b,Transit,0,1,1.995,0.001,-0.001,0,0.0142,0.0026,-0.003,0,,,,0,87.84,1.41,-1.97,0,,,,0,,0.234,0.021,-0.013,0,,,,0,0,0,1,0,10h53m00.52s,163.252151,+05d18m23.9s,5.306635,109.07,1.04,-1.04,0,109.07,1.04,-1.04,0,15.798,,0,Kepler-band,16.355,,0,3157,7,-7,0,0.12,0.01,-0.01,0,0.3,0,0,0,16-09-2020,K2
Kepler-261 c,1045,4.66 Earths,13.529,2014
Kepler-262 b,2036,2.42 Earths,14.224,2014,K2-321,b,k2-321 b,Transit,0,1,2.298,0.001,-0.001,0,0.041,0.0035,-0.0048,0,,,,0,88.94,0.73,-1.12,0,,,,0,,0.174,0.009,-0.011,0,,,,0,0,0,1,0,10h25m37.27s,156.405273,+02d30m51.7s,2.514349,77.86,0.32,-0.32,0,77.86,0.32,-0.32,0,13.677,0.05,0,V (Johnson),12.824,,0,3855,65,-65,0,0.6,0.03,-0.03,0,0.58,0.02,-0.02,0,16-09-2020,K2
Kepler-262 c,2036,3.33 Earths,14.224,2014
Kepler-263 b,2515,7.61 Earths,15.417,2014,K2-322,b,k2-322 b,Transit,0,1,8.205,0.003,-0.003,0,0.0594,0.0174,-0.0221,0,,,,0,88.15,1.11,-2.01,0,,,,0,,0.171,0.026,-0.016,0,,,,0,0,0,1,0,10h26m29.46s,156.622757,+04d45m50.5s,4.764019,123.86,0.31,-0.31,0,123.86,0.31,-0.31,0,13.941,0.02,0,V (Johnson),13.311,,0,4141,96,-96,0,0.63,0.03,-0.03,0,0.6,0.01,-0.01,0,16-09-2020,K2
Kepler-263 c,2515,6.66 Earths,15.417,2014
Kepler-264 b,3158,11.1 Earths,13.013,2014,K2-323,b,k2-323 b,Transit,0,1,24.93,0.006,-0.006,0,0.1275,0.0055,-0.0072,0,,,,0,89.88,1.08,-1.29,0,,,,0,,0.187,0.008,-0.01,0,,,,0,0,0,1,0,10h37m41.04s,159.421021,+06d17m09.4s,6.285933,118.72,0.55,-0.55,0,118.72,0.55,-0.55,0,14.932,0.11,0,V (Johnson),14.069,,0,3710,118,-118,0,0.48,0.09,-0.09,0,0.55,0.02,-0.02,0,16-09-2020,K2
Kepler-264 c,3158,8.4 Earths,13.013,2014
Kepler-265 b,4333,4.12 Earths,15.352,2014,K2-324,b,k2-324 b,Transit,0,1,3.262,0.001,-0.001,0,0.0331,0.0037,-0.0066,0,,,,0,88.33,1.06,-1.84,0,,,,0,,0.217,0.013,-0.012,0,,,,0,0,0,1,0,10h30m29.35s,157.622284,+06d51m49.3s,6.863706,137.18,1.6,-1.6,0,137.18,1.6,-1.6,0,15.399,0.02,0,V (Johnson),14.517,,0,3752,57,-57,0,0.52,0.04,-0.04,0,0.51,0.01,-0.01,0,16-09-2020,K2
Kepler-265 c,4333,7.41 Earths,15.352,2014
Kepler-265 d,4333,6.76 Earths,15.352,2014,K2-325,b,k2-325 b,Transit,0,1,6.93,0.004,-0.003,0,0.0419,0.0046,-0.0058,0,,,,0,89.37,0.4,-0.68,0,,,,0,,0.196,0.012,-0.013,0,,,,0,0,0,1,0,23h35m40.06s,353.916931,-07d41m11.6s,-7.68656,111.98,1.02,-1.02,0,111.98,1.02,-1.02,0,16.278,,0,Kepler-band,16.137,,0,3287,67,-67,0,0.27,0.01,-0.01,0,0.3,0.01,-0.01,0,16-09-2020,K2
Kepler-265 e,4333,7.22 Earths,15.352,2014
Kepler-266 b,4649,6.71 Earths,15.577,2014,K2-326,b,k2-326 b,Transit,0,1,1.256,0.001,-0.002,0,0.0198,0.0036,-0.0041,0,,,,0,85.63,2.87,-4.24,0,,,,0,,0.203,0.016,-0.016,0,,,,0,0,0,1,0,23h26m26.92s,351.612152,+01d20m15.2s,1.337557,284.58,3.37,-3.37,0,284.58,3.37,-3.37,0,15.342,0.07,0,V (Johnson),15.008,,0,3924,51,-51,0,0.51,0.05,-0.05,0,0.69,0.01,-0.01,0,16-09-2020,K2
Kepler-266 c,4649,14.4 Earths,15.577,2014
Kepler-267 b,871,37.9 Earths,15.469,2014,K2-33,b,k2-33 b,Transit,0,1,5.424865,0.000035,-0.000031,0,,,,,0,,,0,89.1,0.6,-1.1,0,3.7,,,1,Mass,0.45,0.03,-0.033,0,,,,,0,0,1,0,16h10m14.74s,242.561401,-19d19m09.4s,-19.319273,139.8,1.52,-1.52,0,139.8,1.52,-1.52,0,15.714,0.058,0,V (Johnson),14.157,,0,3540,70,-70,0,0.56,0.09,-0.09,0,1.05,0.07,-0.07,0,23-06-2016,K2
Kepler-267 c,871,5.18 Earths,15.469,2014
Kepler-267 d,871,5.77 Earths,15.469,2014,K2-34,b,k2-34 b,Transit,0,1,2.995633,0.000008,-0.000008,0,0.0426,0.0005,-0.0005,0,,,,,,,,,,,,,,1.245,0.029,-0.029,0,,,,,0,0,1,0,08h30m18.91s,127.578773,+22d14m09.3s,22.235909,352.34,6.25,-6.25,0,352.08,6.29,-6.29,0,11.548,0.057,0,V (Johnson),11.436,,0,6071,90,-90,0,1.15,0.04,-0.04,0,1.44,0.03,-0.03,0,26-10-2018,K2
Kepler-268 b,2848,7.04 Earths,13.668,2014
Kepler-268 c,2848,11.4 Earths,13.668,2014,K2-35,b,k2-35 b,Transit,0,2,5.608352,0.000335,-0.000338,0,0.055,0.002,-0.002,0,0.12,0.156754,-0.096124,0,88.58,0.79,-0.44,0,,,,,,0.172,0.012,-0.01,0,,,,,0,0,1,0,11h20m24.74s,170.103088,+01d17m09.4s,1.285956,254.43,2.46,-2.46,0,254.43,2.46,-2.46,0,14.35,0.06,0,V (Johnson),13.915,,0,4402.71,95.55,-93.27,0,0.7,0.07,-0.07,0,0.62,0.03,-0.03,0,26-10-2017,K2
Kepler-269 b,7890,6.66 Earths,15.735,2014
Kepler-269 c,7890,3.5 Earths,15.735,2014,K2-35,c,k2-35 c,Transit,0,2,2.399964,0.000198,-0.000204,0,0.031,0.001,-0.001,0,0.13,0.173535,-0.105654,0,88.98,0.71,-0.98,0,,,,,,0.118,0.007,-0.007,0,,,,,0,0,1,0,11h20m24.74s,170.103088,+01d17m09.4s,1.285956,254.43,2.46,-2.46,0,254.43,2.46,-2.46,0,14.35,0.06,0,V (Johnson),13.915,,0,4402.71,95.55,-93.27,0,0.7,0.07,-0.07,0,0.62,0.03,-0.03,0,26-10-2017,K2
Kepler-26 b,1104,5.12 Earths,15.409,2011
Kepler-26 c,1104,6.2 Earths,15.409,2011,K2-36,b,k2-36 b,Transit,0,2,1.422614,0.000038,-0.000038,0,0.0223,0.0004,-0.0004,0,0,,,0,84.45,0.78,-0.48,0,0.01227,0.00346,-0.00346,0,Mass,0.128,0.007,-0.007,0,7.2,2.5,-2.1,0,0,0,1,1,11h17m47.78s,169.449066,+03d51m59.0s,3.866393,110.09,0.61,-0.61,0,110.09,0.61,-0.61,0,11.8,0.03,0,V (Johnson),11.527,,0,4916,35,-37,0,0.79,0.01,-0.01,0,0.72,0.01,-0.01,0,15-08-2019,K2
Kepler-26 d,1104,1.24 Earths,15.409,2014
Kepler-26 e,1104,6.39 Earths,15.409,2014,K2-36,c,k2-36 c,Transit,0,2,5.340888,0.000086,-0.000086,0,0.054,0.001,-0.001,0,0,,,0,86.917,0.066,-0.056,0,0.02454,0.00724,-0.00724,0,Mass,0.285,0.027,-0.027,0,1.3,0.7,-0.5,0,0,0,1,1,11h17m47.78s,169.449066,+03d51m59.0s,3.866393,110.09,0.61,-0.61,0,110.09,0.61,-0.61,0,11.8,0.03,0,V (Johnson),11.527,,0,4916,35,-37,0,0.79,0.01,-0.01,0,0.72,0.01,-0.01,0,15-08-2019,K2
Kepler-270 b,3182,4.7 Earths,13.859,2014
Kepler-270 c,3182,3.78 Earths,13.859,2014,K2-37,b,k2-37 b,Transit,0,3,4.44117,0.00075,-0.00075,0,0.0511,0.0009,-0.0009,0,,,,,87.28,1.95,-3.37,0,,,,,,0.144,0.015,-0.015,0,,,,,0,0,1,0,16h13m48.24s,243.451004,-24d47m13.4s,-24.787062,180.86,1.59,-1.59,0,180.86,1.59,-1.59,0,12.52,0.06,0,V (Johnson),12.257,,0,5413,60,-60,0,0.9,0.05,-0.05,0,0.85,0.04,-0.04,0,07-07-2016,K2
Kepler-271 b,1364,2.04 Earths,13.428,2014
Kepler-271 c,1364,0.809 Earths,13.428,2014,K2-37,c,k2-37 c,Transit,0,3,6.42904,0.00036,-0.00036,0,0.0654,0.0011,-0.0011,0,,,,,87.37,1.83,-2.5,0,,,,,,0.245,0.024,-0.024,0,,,,,0,0,1,0,16h13m48.24s,243.451004,-24d47m13.4s,-24.787062,180.86,1.59,-1.59,0,180.86,1.59,-1.59,0,12.52,0.06,0,V (Johnson),12.257,,0,5413,60,-60,0,0.9,0.05,-0.05,0,0.85,0.04,-0.04,0,07-07-2016,K2
Kepler-271 d,1364,0.219 Earths,13.428,2016
Kepler-272 b,2978,0.245 Jupiters,14.659,2014,K2-37,d,k2-37 d,Transit,0,3,14.09189,0.00135,-0.00135,0,0.1103,0.0018,-0.0018,0,,,,,88.34,1.18,-1.65,0,,,,,,0.244,0.032,-0.032,0,,,,,0,0,1,0,16h13m48.24s,243.451004,-24d47m13.4s,-24.787062,180.86,1.59,-1.59,0,180.86,1.59,-1.59,0,12.52,0.06,0,V (Johnson),12.257,,0,5413,60,-60,0,0.9,0.05,-0.05,0,0.85,0.04,-0.04,0,07-07-2016,K2
Kepler-272 c,2978,0.308 Jupiters,14.659,2014
Kepler-272 d,2978,5.69 Earths,14.659,2014,K2-38,b,k2-38 b,Transit,0,2,4.01593,0.0005,-0.0005,0,,,,,,,,,87.28,2.48,-2.48,0,0.06,0.03,-0.03,0,Mass,0.17,0.03,-0.03,0,,,,,0,0,1,0,16h00m08.06s,240.033585,-23d11m21.4s,-23.189287,193.71,2.64,-2.64,0,193.71,2.64,-2.64,0,11.39,0.03,0,V (Johnson),11.184,,0,5757,60,-60,0,2.24,1.67,-1.67,0,1.38,0.21,-0.21,0,26-04-2018,K2
Kepler-273 b,2378,2.86 Earths,14.968,2014
Kepler-273 c,2378,4.58 Earths,14.968,2014,K2-38,c,k2-38 c,Transit,0,2,10.56103,0.0009,-0.0009,0,0.0964,0.0016,-0.0016,0,,,,,88.61,1,-1.67,0,0.03115,0.01447,-0.01447,0,Mass,0.216,0.026,-0.026,0,3.6,2.7,-1.9,0,0,0,1,0,16h00m08.06s,240.033585,-23d11m21.4s,-23.189287,193.71,2.64,-2.64,0,193.71,2.64,-2.64,0,11.39,0.03,0,V (Johnson),11.184,,0,5757,60,-60,0,2.24,1.67,-1.67,0,1.38,0.21,-0.21,0,07-07-2016,K2
Kepler-274 b,4520,2.99 Earths,15.032,2014
Kepler-274 c,4520,4.04 Earths,15.032,2014,K2-39,b,k2-39 b,Transit,0,1,4.60543,0.00046,-0.00046,0,,,,,0,,,0,80.39,4.19,-4.19,0,0.09,0.05,-0.05,0,Mass,0.56,0.15,-0.15,0,,,,,0,0,1,0,22h33m28.41s,338.368378,-09d01m22.0s,-9.022769,310.14,4.7,-4.7,0,310.14,4.7,-4.7,0,10.83,0.08,0,V (Johnson),10.596,,0,4881,20,-20,0,0.66,0.56,-0.56,0,2.97,0.77,-0.77,0,26-04-2018,K2
Kepler-275 b,7030,6.08 Earths,15.287,2014
